unidad,categoria,variable,subvariable,fecha,valor
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2008-12-31,6871.362961
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2009-01-31,6901.560283
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2009-02-28,6763.934585
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2009-03-31,6871.923461
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2009-04-30,6864.808979
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2009-05-31,6963.327691
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2009-06-30,7042.367688
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2009-07-31,7096.833495
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2009-08-31,7178.097702
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2009-09-30,7272.651482
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2009-10-31,7364.828495
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2009-11-30,7404.558171
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2009-12-31,7311.343971
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2010-01-31,7295.373474
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2010-02-28,7250.781767
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2010-03-31,7178.795273
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2010-04-30,7113.386757
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2010-05-31,7092.472248
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2010-06-30,7149.684746
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2010-07-31,7288.15037
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2010-08-31,7347.990015
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2010-09-30,7594.979378
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2010-10-31,7709.995562
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2010-11-30,7761.587928
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2010-12-31,7866.223991
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2011-01-31,8223.808248
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2011-02-28,8481.642254
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2011-03-31,8594.100103
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2011-04-30,8722.605291
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2011-05-31,8652.512326
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2011-06-30,8758.317126
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2011-07-31,8922.121742
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2011-08-31,8850.726744
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2011-09-30,8929.692166
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2011-10-31,9249.909177
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2011-11-30,9501.774336
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2011-12-31,9643.905047
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2012-01-31,9862.479197
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2012-02-29,10037.55794
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2012-03-31,10213.2951
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2012-04-30,10045.93305
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2012-05-31,10026.23712
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2012-06-30,10052.95386
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2012-07-31,10273.26503
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2012-08-31,10537.96569
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas,2012-09-30,10721.79225
